date,exchange_rate_to_euro,country,currency
2022-02-07,0.62,Australia,AUD
2022-02-07,0.17,Brazil,BRL
2022-02-07,0.69,Canada,CAD
2022-02-07,0.13,Denmark,DKK
2022-02-07,0.01,Japan,JPY
2022-02-07,0.1,Norway,NOK
2022-02-07,0.65,Singapore,SGD
2022-02-07,0.1,Sweden,SEK
2022-02-07,1.18,UK,GBP
2022-02-07,0.87,USA,USD
2022-02-08,0.62,Australia,AUD
2022-02-08,0.17,Brazil,BRL
2022-02-08,0.69,Canada,CAD
2022-02-08,0.13,Denmark,DKK
2022-02-08,0.01,Japan,JPY
2022-02-08,0.1,Norway,NOK
2022-02-08,0.65,Singapore,SGD
2022-02-08,0.1,Sweden,SEK
2022-02-08,1.19,UK,GBP
2022-02-08,0.88,USA,USD
2022-02-09,0.63,Australia,AUD
2022-02-09,0.17,Brazil,BRL
2022-02-09,0.69,Canada,CAD
2022-02-09,0.13,Denmark,DKK
2022-02-09,0.01,Japan,JPY
2022-02-09,0.1,Norway,NOK
2022-02-09,0.65,Singapore,SGD
2022-02-09,0.1,Sweden,SEK
2022-02-09,1.19,UK,GBP
2022-02-09,0.87,USA,USD
2022-02-10,0.63,Australia,AUD
2022-02-10,0.17,Brazil,BRL
2022-02-10,0.69,Canada,CAD
2022-02-10,0.13,Denmark,DKK
2022-02-10,0.01,Japan,JPY
2022-02-10,0.1,Norway,NOK
2022-02-10,0.65,Singapore,SGD
2022-02-10,0.1,Sweden,SEK
2022-02-10,1.19,UK,GBP
2022-02-10,0.87,USA,USD
2022-02-11,0.62,Australia,AUD
2022-02-11,0.17,Brazil,BRL
2022-02-11,0.69,Canada,CAD
2022-02-11,0.13,Denmark,DKK
2022-02-11,1,Japan,JPY
2022-02-11,0.1,Norway,NOK
2022-02-11,0.65,Singapore,SGD
2022-02-11,0.09,Sweden,SEK
2022-02-11,1.19,UK,GBP
2022-02-11,0.88,USA,USD
2022-02-14,0.63,Australia,AUD
2022-02-14,0.17,Brazil,BRL
2022-02-14,0.69,Canada,CAD
2022-02-14,0.13,Denmark,DKK
2022-02-14,0.01,Japan,JPY
2022-02-14,0.1,Norway,NOK
2022-02-14,0.66,Singapore,SGD
2022-02-14,0.09,Sweden,SEK
2022-02-14,1.19,UK,GBP
2022-02-14,0.88,USA,USD
2022-02-15,0.63,Australia,AUD
2022-02-15,0.17,Brazil,BRL
2022-02-15,0.69,Canada,CAD
2022-02-15,0.13,Denmark,DKK
2022-02-15,0.01,Japan,JPY
2022-02-15,0.1,Norway,NOK
2022-02-15,0.65,Singapore,SGD
2022-02-15,0.09,Sweden,SEK
2022-02-15,1.19,UK,GBP
2022-02-15,0.88,USA,USD
2022-02-16,0.63,Australia,AUD
2022-02-16,0.17,Brazil,BRL
2022-02-16,0.69,Canada,CAD
2022-02-16,0.13,Denmark,DKK
2022-02-16,0.01,Japan,JPY
2022-02-16,0.1,Norway,NOK
2022-02-16,0.65,Singapore,SGD
2022-02-16,0.09,Sweden,SEK
2022-02-16,1.19,UK,GBP
2022-02-16,0.88,USA,USD
2022-02-17,0.63,Australia,AUD
2022-02-17,0.17,Brazil,BRL
2022-02-17,0.69,Canada,CAD
2022-02-17,0.13,Denmark,DKK
2022-02-17,0.01,Japan,JPY
2022-02-17,0.1,Norway,NOK
2022-02-17,0.65,Singapore,SGD
2022-02-17,0.09,Sweden,SEK
2022-02-17,1.2,UK,GBP
2022-02-17,0.88,USA,USD
2022-02-18,0.63,Australia,AUD
2022-02-18,0.17,Brazil,BRL
2022-02-18,0.69,Canada,CAD
2022-02-18,0.13,Denmark,DKK
2022-02-18,0.01,Japan,JPY
2022-02-18,0.1,Norway,NOK
2022-02-18,0.66,Singapore,SGD
2022-02-18,0.09,Sweden,SEK
2022-02-18,1.2,UK,GBP
2022-02-18,0.88,USA,USD
2022-02-22,0.63,Australia,AUD
2022-02-22,0.17,Brazil,BRL
2022-02-22,0.69,Canada,CAD
2022-02-22,0.13,Denmark,DKK
2022-02-22,0.01,Japan,JPY
2022-02-22,0.1,Norway,NOK
2022-02-22,0.65,Singapore,SGD
2022-02-22,0.09,Sweden,SEK
2022-02-22,1.2,UK,GBP
2022-02-22,0.88,USA,USD
2022-02-23,0.64,Australia,AUD
2022-02-23,0.18,Brazil,BRL
2022-02-23,0.69,Canada,CAD
2022-02-23,0.13,Denmark,DKK
2022-02-23,1,Japan,JPY
2022-02-23,0.1,Norway,NOK
2022-02-23,0.66,Singapore,SGD
2022-02-23,0.09,Sweden,SEK
2022-02-23,1.2,UK,GBP
2022-02-23,0.88,USA,USD
2022-02-24,0.64,Australia,AUD
2022-02-24,0.18,Brazil,BRL
2022-02-24,0.7,Canada,CAD
2022-02-24,0.13,Denmark,DKK
2022-02-24,0.01,Japan,JPY
2022-02-24,0.1,Norway,NOK
2022-02-24,0.66,Singapore,SGD
2022-02-24,0.09,Sweden,SEK
2022-02-24,1.2,UK,GBP
2022-02-24,0.9,USA,USD
2022-02-25,0.64,Australia,AUD
2022-02-25,0.17,Brazil,BRL
2022-02-25,0.7,Canada,CAD
2022-02-25,0.13,Denmark,DKK
2022-02-25,0.01,Japan,JPY
2022-02-25,0.1,Norway,NOK
2022-02-25,0.1,Singapore,SGD
2022-02-25,0.09,Sweden,SEK
2022-02-25,1.19,UK,GBP
2022-02-25,0.89,USA,USD
2022-02-28,0.64,Australia,AUD
2022-02-28,0.64,Brazil,BRL
2022-02-28,0.7,Canada,CAD
2022-02-28,0.13,Denmark,DKK
2022-02-28,0.01,Japan,JPY
2022-02-28,0.1,Norway,NOK
2022-02-28,0.66,Singapore,SGD
2022-02-28,0.09,Sweden,SEK
2022-02-28,1.2,UK,GBP
2022-02-28,0.89,USA,USD
2022-03-01,0.65,Australia,AUD
2022-03-01,0.65,Brazil,BRL
2022-03-01,0.7,Canada,CAD
2022-03-01,0.13,Denmark,DKK
2022-03-01,0.01,Japan,JPY
2022-03-01,0.1,Norway,NOK
2022-03-01,0.66,Singapore,SGD
2022-03-01,0.09,Sweden,SEK
2022-03-01,1.2,UK,GBP
2022-03-01,0.9,USA,USD
2022-03-02,0.65,Australia,AUD
2022-03-02,0.18,Brazil,BRL
2022-03-02,0.71,Canada,CAD
2022-03-02,0.13,Denmark,DKK
2022-03-02,0.01,Japan,JPY
2022-03-02,0.1,Norway,NOK
2022-03-02,0.66,Singapore,SGD
2022-03-02,0.09,Sweden,SEK
2022-03-02,1.2,UK,GBP
2022-03-02,0.9,USA,USD
2022-03-03,0.66,Australia,AUD
2022-03-03,0.66,Brazil,BRL
2022-03-03,0.71,Canada,CAD
2022-03-03,0.13,Denmark,DKK
2022-03-03,0.01,Japan,JPY
2022-03-03,0.1,Norway,NOK
2022-03-03,0.67,Singapore,SGD
2022-03-03,0.09,Sweden,SEK
2022-03-03,1.21,UK,GBP
2022-03-03,0.9,USA,USD
2022-03-04,0.67,Australia,AUD
2022-03-04,0.18,Brazil,BRL
2022-03-04,0.72,Canada,CAD
2022-03-04,0.13,Denmark,DKK
2022-03-04,0.01,Japan,JPY
2022-03-04,0.1,Norway,NOK
2022-03-04,0.67,Singapore,SGD
2022-03-04,0.09,Sweden,SEK
2022-03-04,1.22,UK,GBP
2022-03-04,0.91,USA,USD
2022-03-07,0.68,Australia,AUD
2022-03-07,0.18,Brazil,BRL
2022-03-07,0.72,Canada,CAD
2022-03-07,0.13,Denmark,DKK
2022-03-07,0.01,Japan,JPY
2022-03-07,0.1,Norway,NOK
2022-03-07,0.67,Singapore,SGD
2022-03-07,0.09,Sweden,SEK
2022-03-07,1.21,UK,GBP
2022-03-07,0.92,USA,USD
2022-03-08,0.67,Australia,AUD
2022-03-08,0.18,Brazil,BRL
2022-03-08,0.71,Canada,CAD
2022-03-08,0.13,Denmark,DKK
2022-03-08,0.01,Japan,JPY
2022-03-08,0.1,Norway,NOK
2022-03-08,0.67,Singapore,SGD
2022-03-08,0.09,Sweden,SEK
2022-03-08,1.2,UK,GBP
2022-03-08,0.92,USA,USD
2022-03-09,0.66,Australia,AUD
2022-03-09,0.18,Brazil,BRL
2022-03-09,0.71,Canada,CAD
2022-03-09,0.13,Denmark,DKK
2022-03-09,0.01,Japan,JPY
2022-03-09,0.1,Norway,NOK
2022-03-09,0.67,Singapore,SGD
2022-03-09,0.09,Sweden,SEK
2022-03-09,1.2,UK,GBP
2022-03-09,0.91,USA,USD
2022-03-10,0.66,Australia,AUD
2022-03-10,0.18,Brazil,BRL
2022-03-10,0.71,Canada,CAD
2022-03-10,0.13,Denmark,DKK
2022-03-10,0.01,Japan,JPY
2022-03-10,0.1,Norway,NOK
2022-03-10,0.66,Singapore,SGD
2022-03-10,0.09,Sweden,SEK
2022-03-10,1.19,UK,GBP
2022-03-10,0.9,USA,USD
2022-03-11,0.67,Australia,AUD
2022-03-11,0.18,Brazil,BRL
2022-03-11,0.72,Canada,CAD
2022-03-11,0.13,Denmark,DKK
2022-03-11,0.01,Japan,JPY
2022-03-11,0.1,Norway,NOK
2022-03-11,0.67,Singapore,SGD
2022-03-11,0.09,Sweden,SEK
2022-03-11,1.19,UK,GBP
2022-03-11,0.91,USA,USD
2022-03-14,0.64,Australia,AUD
2022-03-14,0.18,Brazil,BRL
2022-03-14,0.71,Canada,CAD
2022-03-14,0.13,Denmark,DKK
2022-03-14,0.01,Japan,JPY
2022-03-14,0.1,Norway,NOK
2022-03-14,0.67,Singapore,SGD
2022-03-14,0.09,Sweden,SEK
2022-03-14,1.19,UK,GBP
2022-03-14,0.91,USA,USD
2022-03-15,0.65,Australia,AUD
2022-03-15,0.18,Brazil,BRL
2022-03-15,0.71,Canada,CAD
2022-03-15,0.13,Denmark,DKK
2022-03-15,0.01,Japan,JPY
2022-03-15,0.1,Norway,NOK
2022-03-15,0.67,Singapore,SGD
2022-03-15,0.09,Sweden,SEK
2022-03-15,1.19,UK,GBP
2022-03-15,0.91,USA,USD
2022-03-16,0.66,Australia,AUD
2022-03-16,0.18,Brazil,BRL
2022-03-16,0.72,Canada,CAD
2022-03-16,0.13,Denmark,DKK
2022-03-16,0.01,Japan,JPY
2022-03-16,0.1,Norway,NOK
2022-03-16,0.67,Singapore,SGD
2022-03-16,0.1,Sweden,SEK
2022-03-16,1.19,UK,GBP
2022-03-16,0.91,USA,USD
2022-03-17,0.66,Australia,AUD
2022-03-17,0.18,Brazil,BRL
2022-03-17,0.72,Canada,CAD
2022-03-17,0.13,Denmark,DKK
2022-03-17,0.01,Japan,JPY
2022-03-17,0.1,Norway,NOK
2022-03-17,0.67,Singapore,SGD
2022-03-17,0.1,Sweden,SEK
2022-03-17,1.19,UK,GBP
2022-03-17,0.9,USA,USD
2022-03-18,0.67,Australia,AUD
2022-03-18,0.18,Brazil,BRL
2022-03-18,0.72,Canada,CAD
2022-03-18,0.13,Denmark,DKK
2022-03-18,0.01,Japan,JPY
2022-03-18,0.1,Norway,NOK
2022-03-18,0.67,Singapore,SGD
2022-03-18,0.1,Sweden,SEK
2022-03-18,1.19,UK,GBP
2022-03-18,0.91,USA,USD
2022-03-21,0.67,Australia,AUD
2022-03-21,0.18,Brazil,BRL
2022-03-21,0.72,Canada,CAD
2022-03-21,0.13,Denmark,DKK
2022-03-21,1,Japan,JPY
2022-03-21,1,Norway,NOK
2022-03-21,0.67,Singapore,SGD
2022-03-21,0.1,Sweden,SEK
2022-03-21,1.19,UK,GBP
2022-03-21,0.91,USA,USD
2022-03-22,0.67,Australia,AUD
2022-03-22,0.18,Brazil,BRL
2022-03-22,0.72,Canada,CAD
2022-03-22,0.13,Denmark,DKK
2022-03-22,0.01,Japan,JPY
2022-03-22,0.01,Norway,NOK
2022-03-22,0.67,Singapore,SGD
2022-03-22,0.1,Sweden,SEK
2022-03-22,1.2,UK,GBP
2022-03-22,0.91,USA,USD
2022-03-23,0.68,Australia,AUD
2022-03-23,0.19,Brazil,BRL
2022-03-23,0.72,Canada,CAD
2022-03-23,0.13,Denmark,DKK
2022-03-23,0.01,Japan,JPY
2022-03-23,0.01,Norway,NOK
2022-03-23,0.67,Singapore,SGD
2022-03-23,0.1,Sweden,SEK
2022-03-23,1.2,UK,GBP
2022-03-23,0.91,USA,USD
2022-03-24,0.68,Australia,AUD
2022-03-24,0.19,Brazil,BRL
2022-03-24,0.73,Canada,CAD
2022-03-24,0.13,Denmark,DKK
2022-03-24,0.01,Japan,JPY
2022-03-24,0.01,Norway,NOK
2022-03-24,0.67,Singapore,SGD
2022-03-24,0.1,Sweden,SEK
2022-03-24,1.2,UK,GBP
2022-03-24,0.91,USA,USD
2022-03-25,0.68,Australia,AUD
2022-03-25,0.68,Brazil,BRL
2022-03-25,0.73,Canada,CAD
2022-03-25,0.13,Denmark,DKK
2022-03-25,0.01,Japan,JPY
2022-03-25,0.11,Norway,NOK
2022-03-25,0.67,Singapore,SGD
2022-03-25,0.1,Sweden,SEK
2022-03-25,1.2,UK,GBP
2022-03-25,0.91,USA,USD
2022-03-28,0.69,Australia,AUD
2022-03-28,0.69,Brazil,BRL
2022-03-28,0.73,Canada,CAD
2022-03-28,0.13,Denmark,DKK
2022-03-28,0.01,Japan,JPY
2022-03-28,0.11,Norway,NOK
2022-03-28,0.67,Singapore,SGD
2022-03-28,0.1,Sweden,SEK
2022-03-28,1.2,UK,GBP
2022-03-28,0.91,USA,USD
2022-03-29,0.67,Australia,AUD
2022-03-29,0.19,Brazil,BRL
2022-03-29,0.72,Canada,CAD
2022-03-29,0.13,Denmark,DKK
2022-03-29,0.01,Japan,JPY
2022-03-29,0.1,Norway,NOK
2022-03-29,0.66,Singapore,SGD
2022-03-29,0.1,Sweden,SEK
2022-03-29,1.18,UK,GBP
2022-03-29,0.9,USA,USD
2022-03-30,0.68,Australia,AUD
2022-03-30,0.68,Brazil,BRL
2022-03-30,0.72,Canada,CAD
2022-03-30,0.13,Denmark,DKK
2022-03-30,0.01,Japan,JPY
2022-03-30,0.1,Norway,NOK
2022-03-30,0.66,Singapore,SGD
2022-03-30,0.1,Sweden,SEK
2022-03-30,1.18,UK,GBP
2022-03-30,0.9,USA,USD
2022-03-31,0.67,Australia,AUD
2022-03-31,0.19,Brazil,BRL
2022-03-31,0.72,Canada,CAD
2022-03-31,0.13,Denmark,DKK
2022-03-31,0.01,Japan,JPY
2022-03-31,0.1,Norway,NOK
2022-03-31,0.67,Singapore,SGD
2022-03-31,0.1,Sweden,SEK
2022-03-31,1.18,UK,GBP
2022-03-31,0.9,USA,USD
2022-04-01,0.68,Australia,AUD
2022-04-01,0.19,Brazil,BRL
2022-04-01,0.72,Canada,CAD
2022-04-01,0.13,Denmark,DKK
2022-04-01,0.01,Japan,JPY
2022-04-01,0.1,Norway,NOK
2022-04-01,0.67,Singapore,SGD
2022-04-01,0.1,Sweden,SEK
2022-04-01,1.19,UK,GBP
2022-04-01,0.9,USA,USD
2022-04-04,0.68,Australia,AUD
2022-04-04,0.2,Brazil,BRL
2022-04-04,0.73,Canada,CAD
2022-04-04,0.13,Denmark,DKK
2022-04-04,0.01,Japan,JPY
2022-04-04,0.1,Norway,NOK
2022-04-04,0.67,Singapore,SGD
2022-04-04,0.1,Sweden,SEK
2022-04-04,1.19,UK,GBP
2022-04-04,0.91,USA,USD
2022-04-05,0.69,Australia,AUD
2022-04-05,0.2,Brazil,BRL
2022-04-05,0.73,Canada,CAD
2022-04-05,0.13,Denmark,DKK
2022-04-05,0.01,Japan,JPY
2022-04-05,0.1,Norway,NOK
2022-04-05,0.67,Singapore,SGD
2022-04-05,0.1,Sweden,SEK
2022-04-05,1.2,UK,GBP
2022-04-05,0.91,USA,USD
2022-04-06,0.69,Australia,AUD
2022-04-06,0.19,Brazil,BRL
2022-04-06,0.73,Canada,CAD
2022-04-06,0.73,Denmark,DKK
2022-04-06,0.01,Japan,JPY
2022-04-06,0.01,Norway,NOK
2022-04-06,0.67,Singapore,SGD
2022-04-06,0.1,Sweden,SEK
2022-04-06,1.2,UK,GBP
2022-04-06,0.92,USA,USD
2022-04-07,0.69,Australia,AUD
2022-04-07,0.19,Brazil,BRL
2022-04-07,0.73,Canada,CAD
2022-04-07,0.13,Denmark,DKK
2022-04-07,0.01,Japan,JPY
2022-04-07,0.1,Norway,NOK
2022-04-07,0.67,Singapore,SGD
2022-04-07,0.1,Sweden,SEK
2022-04-07,1.2,UK,GBP
2022-04-07,0.92,USA,USD
2022-04-08,0.69,Australia,AUD
2022-04-08,0.19,Brazil,BRL
2022-04-08,0.19,Canada,CAD
2022-04-08,0.13,Denmark,DKK
2022-04-08,0.01,Japan,JPY
2022-04-08,0.11,Norway,NOK
2022-04-08,0.68,Singapore,SGD
2022-04-08,0.1,Sweden,SEK
2022-04-08,1.2,UK,GBP
2022-04-08,0.92,USA,USD
2022-04-11,0.68,Australia,AUD
2022-04-11,0.2,Brazil,BRL
2022-04-11,0.73,Canada,CAD
2022-04-11,0.13,Denmark,DKK
2022-04-11,0.01,Japan,JPY
2022-04-11,0.1,Norway,NOK
2022-04-11,0.67,Singapore,SGD
2022-04-11,0.1,Sweden,SEK
2022-04-11,1.2,UK,GBP
2022-04-11,0.92,USA,USD
2022-04-12,0.68,Australia,AUD
2022-04-12,0.68,Brazil,BRL
2022-04-12,0.73,Canada,CAD
2022-04-12,0.13,Denmark,DKK
2022-04-12,0.01,Japan,JPY
2022-04-12,0.1,Norway,NOK
2022-04-12,0.67,Singapore,SGD
2022-04-12,0.1,Sweden,SEK
2022-04-12,1.2,UK,GBP
2022-04-12,0.92,USA,USD
2022-04-13,0.69,Australia,AUD
2022-04-13,0.2,Brazil,BRL
2022-04-13,0.73,Canada,CAD
2022-04-13,0.13,Denmark,DKK
2022-04-13,0.01,Japan,JPY
2022-04-13,0.1,Norway,NOK
2022-04-13,0.68,Singapore,SGD
2022-04-13,0.1,Sweden,SEK
2022-04-13,1.2,UK,GBP
2022-04-13,0.92,USA,USD
2022-04-14,0.69,Australia,AUD
